"LocalityString"	"Drainage"	"Country"	"State"	"County"	"Continent"
Grand Lake, in bay on S side of Metzlaar Point; T33,34N R7,8E.	Lake Huron	United States of America	Michigan	Presque Isle	North America
Yampa River at Yampa 2		United States of America	Colorado	Moffat	North America
Woods Creek at Lexington, trib. to Gauley (North) River.	James River	United States of America	Virginia	Rockbridge	North America
South River 4.9 air mi. E Lexington; 0.5 mi. SW Riverside.	James River	United States of America	Virginia	Rockbridge	North America
Cedar Creek trib. to Clinch River above mouth of Burgess Creek just above Mountain Bridge.	Clinch River	United States of America	Virginia	Russell	North America
Guantanamo Bay, N side of South Toro Cay.	Caribbean Sea	Cuba	Oriente		North America
White River backwater pool 2 to 3 mi. downstream from Oil Trough Ferry.	White River	United States of America	Arkansas	Independence	North America
Guantanamo Bay, Silinas Island.	Caribbean Sea	Cuba	Oriente		North America
Long Lake, T8S R13W Secs. 9, 10, 15 & 16.	Lake Michigan	United States of America	Michigan	Cass	North America
Poplar Creek 2.3 mi. NE Oliver Springs 0.5 mi. above mouth of Cow Creek.	Tennessee River	United States of America	Tennessee	Anderson	North America
White River.	Wabash River	United States of America	Indiana		North America
West Prong Little River on Cades Cone Road crossing just below ent. Tremont Ranger Station.	?	United States of America	Tennessee	Blount	North America
Big Black Creek along State 600 2 mi. N of Mountain Grove.	James River	United States of America	Virginia	Bath	North America
Pushepatapa Creek, trib. of Pearl River 7.8 mi. N on LA Hwy. 21 from Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Round Lake, T6S R1E Secs. 2 & 11, N shore.	Lake Erie	United States of America	Michigan	Lenawee	North America
Craig Creek at Pinetop; 2 air Mi. NE Newcastle in back of Whitlow residence.	?	United States of America	Virginia	Craig	North America
Craig Creek at 616 crossing 1.3 mi. NE of Newcastle & 1.9 mi. SW of Mineral Springs.	?	United States of America	Virginia	Craig	North America
Guantanamo Bay at main dump.	Caribbean Sea	Cuba	Oriente		North America
Long Lake; T20N R4W Secs. 22, 26, 27 & 35.	Lake Michigan	United States of America	Michigan	Clare	North America
Devils Lake, T5,6S R1E, SW shore.	Lake Erie ?	United States of America	Michigan	Lenawee	North America
Guantanamo Bay, Fish & Gear Locker.	Caribbean Sea	Cuba	Oriente		North America
Guantanamo Bay, South Toro Cay.	Caribbean Sea	Cuba	Oriente		North America
Tar River at State 96 bridge.	Tar River	United States of America	North Carolina	Granville	North America
Tar River at Mitchners crossroads.	Tar River	United States of America	North Carolina	Franklin	North America
Mouth of Fishing Creek.	Tar River	United States of America	North Carolina	Granville	North America
Tar River at SSR 1544 bridge.	Tar River	United States of America	North Carolina	Nash	North America
Tar River at Lewisburg.	Tar River	United States of America	North Carolina	Franklin	North America
Flat River.	Neuse River	United States of America	North Carolina	Durham	North America
Little River.	Neuse River	United States of America	North Carolina	Johnston	North America
Eno River.	Neuse River	United States of America	North Carolina	Durham	North America
(Brood stock at Fayetteville Hatchery).	Tar River	United States of America	North Carolina		North America
Caribbean Sea	Caribbean Sea				Caribbean Sea
Pushepatapa trib. of Pearl River 7.8 mi. N on LA Hwy. 21 from Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pushepatapa trib. of Pearl River 7.8 mi. N on LA Hwy. 21 from Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Guantanamo Bay, Medio Cay.	Caribbean Sea	Cuba	Oriente		North America
Trib. to Saluda River on SC Hwy. 36, 1 mi. W of US Hwy. 76.	Santee River	United States of America	South Carolina	Lexington	North America
Gun Lake; T2,3N R10,11W, Wayland & Martin Twps.	Lake Michigan	United States of America	Michigan	Barry-Allegan	North America
Pushepatapa trib. of Pearl River 7.8 mi. N of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Grand Terre, turning basin.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Wolf Creek in Burdes Garden about 1 mi. S of Lake Dam.	New River	United States of America	Virginia	Tazewell	North America
Guantanamo Bay, old dump near ITT Transmitter.	Caribbean Sea	Cuba	Oriente		North America
North Fork Holston River at Fleenor Mill Pond & Ford.	Holston River	United States of America	Virginia	Washington	North America
"6.7 mi. N of Wentyville on Hwy. 61."	Mississippi River	United States of America	Missouri	Lincoln	North America
Roebuck Lake, trib. to Yazoo River, near Itta Bend.	Yazoo River	United States of America	Mississippi	Leflore	North America
North shore of Bay St. Louis in creek.	Bay St. Louis	United States of America	Mississippi	Harrison	North America
Wolf River about 3 mi. E of Adams Bridge.	Gulf of Mexico	United States of America	Mississippi	Harrison	North America
Santa Clara River, 2.1 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Guantanamo Bay, Hospital Point.	Caribbean Sea	Cuba	Oriente		North America
Choctawhatchee Bay at mouth of Choctawhatchee River.	Choctawhatchee Bay	United States of America	Florida	Walton	North America
Moody Creek (super hole), trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 2.1 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 3.0 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River and Mogotsu Creek near Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River near Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 4 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek (Great Falls & super hole).	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River and Moody Creek.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek, trib. to Mogotsu Creek near super hole.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 0.25 mi. above its confluence with Moody Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River below confluence with Moody Creek.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek (super hole), trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River from confluence to 0.25 mi. above.	Colorado River	United States of America	Utah	Washington	North America
Atlantic Ocean, 180 fathoms.	Atlantic Ocean				Atlantic Ocean
Sycoline Creek trib. of Goose Creek at Syclon near Union Church; 3.8 mi. S Leesburg.	?	United States of America	Virginia	Loudon	North America
Possum Creek below Cleveland School.	Holston River	United States of America	Virginia	Scott	North America
Moody Creek (super hole), trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River from spillway behind Windsor Dam.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek (super hole) trib. to Magaton [Mogotsu ?] Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 0.125 mi. above confluence.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 2.75 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek (super hole), trib. to Mogotsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River above confluence.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 0.25 mi. above Moody Creek confluence.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek at Great Falls.	Colorado River	United States of America	Utah	Washington	North America
Moody Creek at Super Hole tributary to Mogatsu Creek.	Colorado River	United States of America	Utah	Washington	North America
Santa Clara River, 1 mi. above Gunlock.	Colorado River	United States of America	Utah	Washington	North America
